Index,Voltage_mV
0,-0.011325
1,0.005960
2,0.042021
3,0.050366
4,0.030994
5,0.059605
6,0.009835
7,-0.018179
8,0.042021
9,0.009835
10,0.035465
11,0.036359
12,-0.048280
13,-0.014007
14,-0.019372
15,-0.036061
16,0.014603
17,-0.012517
18,0.004768
19,0.025034
20,0.006557
21,0.050962
22,0.026226
23,0.000000
24,-0.035465
25,-0.088215
26,-0.055432
27,-0.072122
28,-0.054836
29,0.008047
30,0.012219
31,0.022352
32,0.023842
33,0.020266
34,0.017285
35,0.013411
36,0.030100
37,0.036657
38,0.016689
39,0.003874
40,0.010431
41,-0.014603
42,-0.033081
43,0.010431
44,0.028014
45,-0.008941
46,-0.005960
47,0.021756
48,-0.029504
49,-0.020862
50,0.035763
51,0.014901
52,0.032485
53,-0.012219
54,-0.033975
55,0.043213
56,0.031590
57,0.019670
58,0.010729
59,0.017285
60,0.052154
61,-0.000596
62,-0.003278
63,0.039041
64,0.006855
65,-0.022352
66,-0.031888
67,-0.038743
68,-0.075400
69,-0.068843
70,-0.057220
71,-0.059903
72,0.019073
73,-0.014901
74,-0.005364
75,0.034869
76,0.000298
77,0.089109
78,0.052154
79,0.018179
80,0.066459
81,0.015795
82,0.018477
83,0.022650
84,-0.000894
85,-0.021458
86,-0.050366
87,-0.060499
88,-0.042021
89,-0.034273
90,-0.077486
91,-0.056326
92,-0.019968
93,-0.013411
94,0.057518
95,0.039339
96,-0.002384
97,0.010431
98,-0.014305
99,0.011027
100,-0.026226
101,-0.059903
102,-0.040829
103,-0.048280
104,0.023842
105,0.021756
106,0.009537
107,0.066757
108,0.030100
109,0.028014
110,0.049174
111,0.027716
112,0.043511
113,0.021756
114,0.005662
115,-0.011623
116,-0.038445
117,0.008047
118,0.011921
119,-0.028014
120,-0.045300
121,0.007749
122,0.017583
123,-0.021756
124,0.016987
125,-1074.218872
126,0.000000
127,0.000000
128,0.000000
129,625.000061
130,2.746880
131,0.000000
132,0.000000
133,0.000000
134,0.000000
135,0.000000
136,0.000000
137,2254.057373
138,2157.624268
139,2254.059814
140,1999.620972
141,9.231568
142,9.155274
143,10.833741
144,11.062623
145,11.825562
146,4.653633
147,-3.280938
148,-9.842218
149,-10.757746
150,-6.714166
151,-5.569458
152,0.610352
153,4.653931
154,2.899170
155,0.838935
156,-2.823174
157,-6.256402
158,-10.726453
159,1902.959473
160,2059.586182
161,2058.592285
162,2152.896973
163,2038.683472
164,2351.795410
165,2039.291504
166,1902.923828
167,7.095039
168,-2.746880
169,-7.934869
170,-9.842218
171,-10.681452
172,-6.332696
173,-3.662110
174,0.915527
175,6.256104
176,8.316041
177,8.773805
178,8.773805
179,11.311770
180,1981.690430
181,1941.324707
182,2234.599121
183,1981.388184
184,2059.282959
185,1022.887634
186,1859.298218
187,8.773506
188,-12.512506
189,-11.215509
190,-15.167596
191,941.467407
192,-8.621514
193,-4.043580
194,0.457764
195,0.152588
196,2.746582
197,4.806519
198,8.697511
199,18.157961
200,20.446779
201,-286.155060
202,0.000000
203,0.014901
204,941.330566
205,921.646118
206,921.724243
207,0.014305
208,1039.595703
209,1117.721558
210,941.176514
211,1136.489014
212,1136.489014
213,0.000000
214,0.000000
215,0.042915
216,19.531252
217,19.531252
218,0.000000
219,0.000000
220,0.000000
221,7.399918
222,1328.134644
223,-932.257263
224,591.220642
225,-1596.135986
226,1239.070068
227,-1713.687378
228,303.517029
229,0.052452
230,1250.000122
231,-2182.608154
232,607.833923
233,-566.406311
234,0.000000
235,0.000000
236,0.000000
237,625.000061
238,14.038087
239,0.000000
240,0.000000
241,2481.155518
242,0.000000
243,0.014901
244,941.330872
245,882.583923
246,882.735352
