Index,Voltage_mV
0,-0.059605
1,0.014901
2,-0.049474
3,-0.066457
4,-0.008641
5,-0.004469
6,0.039941
7,0.076898
8,0.058709
9,0.045904
10,0.044707
11,0.019658
12,-0.046789
13,-0.051554
14,-0.060482
15,-0.015036
16,0.018190
17,0.027571
18,0.028593
19,-0.053526
20,-0.071509
21,-0.017261
22,0.018194
23,0.052474
24,0.029491
25,0.014308
26,0.016685
27,0.037716
28,0.045841
29,-0.013426
30,-0.013419
31,0.011504
32,0.053631
33,0.017256
34,-0.005655
35,0.007605
36,-0.023608
37,-0.057648
38,-0.025931
39,-0.040559
40,-0.054466
41,0.031656
42,0.026814
43,0.025327
44,-0.005053
45,0.009104
46,0.017557
47,-0.031360
48,-0.073006
49,-0.064940
50,467.700287
51,767.549927
52,9.055782
53,1109.606079
54,1441.352539
55,-55.415474
56,-31.022669
57,-10.716772
58,-5.888650
59,-10.409696
60,-3.208077
61,-0.643146
62,13.290995
63,16.592733
64,11.667603
65,3.026168
66,0.387764
67,4.590417
68,11.599015
69,4.660078
70,-5.801576
71,-8.058248
72,5.237978
73,32.573067
74,43.204189
75,1.611791
76,-24.300625
77,-49.658005
78,-49.118427
79,-39.151024
80,-21.806025
81,-6.766208
82,17.505413
83,38.670433
84,44.523304
85,27.057116
86,12.494492
87,3.125247
88,-12.923854
89,-30.136410
90,-12.477830
91,-4.080983
92,-0.725199
93,-4.920938
94,7.034104
95,19.720806
96,37.836674
97,24.057085
98,-4.166903
99,-24.803383
100,-31.668011
101,-29.502941
102,-20.961679
103,-10.949542
104,-0.037129
105,-0.002234
106,-0.013723
107,-0.015148
108,0.000615
109,0.013168
110,0.017567
111,0.038483
112,0.096004
113,0.085134
114,0.010348
115,-0.035410
116,-0.074425
117,-0.014538
118,0.010302
119,-0.034886
120,-0.014860
121,0.030377
122,0.028201
123,-0.008205
124,-0.010649
125,0.007525
126,0.003246
127,-0.025728
128,-0.061020
129,-0.022875
130,0.018590
131,0.060669
132,0.047629
133,0.071895
134,0.063071
135,0.032503
136,-0.004339
137,-0.039543
138,-0.057015
139,-0.057388
140,-0.076306
141,-0.046151
142,0.021168
143,0.007072
144,0.012300
145,0.002579
146,0.032241
147,0.021493
148,0.057000
149,0.018807
150,-0.044475
151,-0.050793
152,-0.049133
153,-0.049811
154,-0.033798
155,0.045961
156,0.042965
157,-0.023826
158,-0.053720
159,-0.047717
160,-0.003600
161,-0.003822
162,0.052415
163,0.107757
164,0.089077
165,0.066966
166,0.017857
167,-0.006604
168,-0.073046
169,-0.055165
170,-0.017785
171,0.001409
172,-0.018583
173,-0.019680
174,-0.043859
175,-0.017615
176,0.045650
177,0.035051
178,0.021995
179,0.026968
180,0.016056
181,0.005999
182,-0.010230
183,-0.035666
184,-0.006226
185,0.000676
186,-0.002698
187,0.047352
188,-0.007357
189,-0.049815
190,-0.039859
191,-0.012779
192,0.012689
193,0.018778
194,-0.019418
195,-0.033526
196,-0.007077
197,-0.003973
198,-0.008867
199,0.019287
200,0.062394
201,0.065541
202,0.026979
203,-0.020794
204,-0.080427
205,-0.101449
206,-0.043002
207,-0.010077
208,0.013600
209,0.035999
210,0.025808
211,0.044001
212,0.029961
213,-0.009562
214,-0.040697
215,-0.063372
216,-0.014449
217,0.027395
218,0.070402
219,0.069455
220,0.035163
221,-0.022469
222,-0.050488
223,-0.045027
224,-0.000574
225,0.030596
226,0.041045
227,0.066392
228,0.012807
229,-0.025407
230,-0.035204
231,-0.053249
232,-0.025062
233,0.022823
234,0.026203
235,-0.039076
236,0.025333
237,-0.000119
238,-0.060602
239,-0.089925
240,-0.080152
241,0.006921
242,0.079475
243,0.047190
244,0.053586
245,0.018905
246,-0.027941
247,-0.025972
248,-0.043574
249,-0.015510
250,0.011962
251,0.025489
252,0.035446
253,0.018815
254,0.014614
255,0.008284
256,-0.004948
257,-0.011699
258,0.035119
259,0.085709
260,0.090165
261,0.017992
262,-0.046443
263,-0.068141
264,-0.117661
265,-0.090199
266,0.014873
267,0.031523
268,0.063021
269,0.008089
270,-0.017886
271,0.011824
272,-0.051059
273,-0.033109
274,-0.025103
275,-0.026713
276,0.040050
277,0.010399
278,-0.034604
279,-0.044153
280,-0.032051
281,0.042524
282,0.056376
283,0.002658
284,0.013891
