Index,Voltage_mV
0,0.007451
1,-0.008792
2,-0.038447
3,-0.054238
4,0.012221
5,0.027417
6,0.042020
7,0.028607
8,-0.016393
9,0.005822
10,0.021452
11,0.014012
12,0.018475
13,0.005356
14,0.024459
15,0.044689
16,-0.004188
17,-0.031893
18,-0.013419
19,-0.035473
20,-0.005065
21,-0.020730
22,-0.066444
23,-0.045454
24,-0.025932
25,-0.023982
26,0.032197
27,0.051258
28,0.014908
29,0.005065
30,-0.000868
31,0.022653
32,-0.040845
33,-0.033333
34,0.016744
35,0.051118
36,0.043189
37,-0.007332
38,-0.058377
39,-0.030388
40,-0.056887
41,-0.002017
42,0.063788
43,0.033164
44,-0.045955
45,-0.084682
46,-0.071465
47,0.025405
48,0.040805
49,0.037539
50,0.006749
51,-0.037407
52,0.022366
53,0.034099
54,0.063162
55,0.049273
56,0.050676
57,0.028963
58,-0.003889
59,-0.018706
60,-0.082234
61,-0.048346
62,-0.021420
63,-0.011445
64,0.030748
65,0.048617
66,0.060242
67,0.051056
68,0.004664
69,-0.059999
70,-0.112638
71,-0.093205
72,-0.045437
73,0.022852
74,0.004454
75,-0.010866
76,-0.003524
77,0.020152
78,0.064433
79,0.087445
80,0.026368
81,-0.049198
82,-0.046136
83,-0.068211
84,-0.095309
85,-0.031296
86,0.022068
87,0.037916
88,0.083785
89,0.098770
90,0.104832
91,0.051871
92,-0.025947
93,-0.024394
94,-0.012019
95,-0.059956
96,-0.064054
97,-0.058245
98,0.000121
99,0.035804
100,0.008653
101,0.011855
102,-0.010227
103,-0.037204
104,0.013167
105,0.015805
106,0.012850
107,0.000084
108,-0.043850
109,-0.074836
110,-0.063855
111,0.042976
112,0.107593
113,0.079136
114,0.042529
115,0.001709
116,-0.056385
117,-0.059044
118,-0.049167
119,-0.038651
120,-0.024059
121,0.013986
122,0.044458
123,0.061238
124,0.028122
125,-0.026572
126,-0.026841
127,-0.026011
128,0.015495
129,0.001258
130,-0.006249
131,-0.014303
132,0.004551
133,0.009950
134,-0.024150
135,-0.016510
136,-0.022327
137,-0.017771
138,0.006010
139,0.015758
140,-0.009301
141,-0.017709
142,0.043482
143,0.098716
144,0.054647
145,-0.002846
146,-0.026794
147,-0.027911
148,-0.025634
149,-0.028708
150,0.054859
151,0.052554
152,0.023853
153,0.013957
154,-0.051460
155,-0.092979
156,-0.081046
157,-0.070254
158,-0.067350
159,0.019765
160,0.070550
161,0.106829
162,0.037475
163,-0.031454
164,-0.031828
165,-0.069918
166,-0.059657
167,-0.052201
168,0.020769
169,0.050280
170,0.037359
171,0.076426
172,0.108252
173,0.092564
174,-0.035341
175,-0.099069
176,-0.049463
177,-0.009371
178,-0.058985
179,-0.033831
180,-0.003313
181,0.001587
182,0.006443
183,-0.020211
184,0.010120
185,0.035252
186,0.055897
187,0.057442
188,0.005598
189,-0.000112
190,-0.009122
191,-0.041194
192,-0.061089
193,-0.047715
194,-0.033740
195,-0.043898
196,-0.001835
197,-0.002845
198,0.059307
199,0.083882
200,0.030106
201,0.036323
202,0.006846
203,-0.013735
204,0.042967
205,0.047325
206,0.037004
207,-0.028238
208,-0.071175
209,-0.039544
210,-0.011231
211,0.006899
212,0.032897
213,-0.015333
214,-0.052180
215,-0.025191
216,-0.033075
217,-0.055138
218,-0.020839
219,-0.009909
220,0.036497
221,0.051671
222,0.032408
223,0.013312
224,0.022214
225,0.051660
226,0.047837
227,0.007850
228,-0.045083
229,-0.068782
230,-0.024301
231,0.010202
232,0.011698
233,0.074229
234,0.046255
235,0.004158
236,-0.047204
237,-0.066420
238,-0.075077
239,-0.079029
240,-0.030274
241,0.029321
242,0.015178
243,0.037034
244,0.091028
245,0.051310
246,-0.003961
247,-0.064958
248,-0.036972
249,0.013352
250,0.046495
251,0.103451
252,0.079714
253,-0.005321
254,-0.051256
255,-0.043121
256,-0.052792
257,-0.030642
258,-0.019246
259,-0.030397
260,0.029791
261,0.060504
262,0.045233
263,0.019497
264,-0.024388
265,-0.070837
266,-0.090389
267,-0.056120
268,-0.049778
269,-0.038736
270,-0.009235
271,0.017068
272,0.050123
273,0.092315
274,0.078882
275,0.083701
276,0.051383
277,-0.013932
278,-0.032390
279,-0.075951
280,-0.077413
281,-0.005867
282,-0.007245
283,-0.035688
284,0.029934
285,0.029292
286,-0.003977
287,-0.030493
288,-0.038031
289,0.001814
290,0.025557
291,0.034359
292,0.077945
293,0.060505
294,0.019003
295,0.035652
296,-0.019528
297,-0.041546
298,-0.063518
299,-0.068060
300,462.069946
301,748.262146
302,8.942824
303,1136.715210
304,1769.408081
305,-15.420486
306,5.815434
307,12.356777
308,-0.642374
309,1.167133
310,6.489716
311,9.263419
312,16.481874
313,-2.321792
314,-27.897533
315,-19.917213
316,6.176702
317,24.552584
318,27.527426
319,3.509745
320,-31.781921
321,-41.506470
322,-40.555649
323,-12.681834
324,31.115353
325,57.651527
326,36.839268
327,-12.669808
328,-45.934296
329,-40.765079
330,0.206196
331,47.437096
332,49.268768
333,19.318989
334,-12.639767
335,-22.275961
336,-32.634884
337,-34.979790
338,-3.285383
339,28.506144
340,40.251011
341,32.763016
342,0.329550
343,-37.335621
344,-50.098225
345,-12.099153
346,14.269608
347,9.599559
348,-5.687205
349,5.133111
350,35.487370
351,32.926853
352,20.631102
353,1.425025
354,-36.819237
355,-137.919113
356,41.373833
357,5.314481
358,-1294.957886
359,-2092.648438
360,-513.123352
361,-512.430664
362,1853.876099
363,925.835144
364,-612.893860
365,-1388.710815
366,-1533.319092
367,-1142.132202
368,1982.496948
369,1373.024780
370,644.569092
371,474.462952
372,-485.287445
373,274.027344
374,470.749176
375,762.085266
376,-800.047852
377,211.511673
378,-572.983643
379,-260.681854
380,1161.250610
381,2152.903076
382,1245.173828
383,-473.735016
384,469.185974
385,558.846313
386,1444.936035
387,-391.624420
388,589.898682
389,499.095856
390,-2089.296875
391,1369.916992
392,1377.920410
393,-1284.712769
394,1833.259521
395,-1492.333252
396,-2011.336792
397,-1174.684937
398,29.151060
399,-1403.864502
400,-1735.935913
401,323.366455
402,248.214020
403,-1350.238770
404,2321.851563
405,-1561.342041
406,530.912292
407,406.976501
408,-746.180237
409,-0.000808
410,0.002646
411,0.010823
412,0.002950
413,0.039620
414,0.095667
415,0.064865
416,0.036390
417,0.011207
418,0.009343
419,-0.053653
420,-0.107799
421,-0.124117
422,-0.045848
423,0.002901
424,0.046625
425,0.001478
426,-0.020005
427,0.022647
428,0.020513
429,-0.017150
430,-0.013235
431,-0.000776
432,0.001318
433,-0.008879
434,0.013385
435,0.016961
436,-0.002844
437,0.003863
438,0.024223
439,0.066487
440,0.078544
441,0.059366
442,-0.037938
443,-0.067120
444,-0.023603
445,-0.095639
446,-0.029699
447,0.025136
448,0.002651
449,0.047400
450,0.011673
451,-0.016862
452,-0.026930
453,0.000547
454,0.049960
455,0.003257
456,-0.031747
457,-0.031238
458,0.013384
459,0.015442
460,0.023616
461,-0.023736
462,-0.020166
463,0.012677
464,-0.025440
465,-0.080387
466,-0.025739
467,0.050246
468,0.114380
469,0.083700
470,0.006802
471,-0.028334
472,-0.045605
473,-0.047258
474,-0.035958
475,0.019797
476,-0.014234
477,-0.042972
478,-0.044035
479,-0.005645
480,0.012169
481,0.058938
482,0.017465
483,0.030119
484,0.034722
485,0.001155
486,-0.045351
487,-0.002051
488,0.038525
489,0.030715
490,-0.037356
