Index,Voltage_mV
0,0.115037
1,0.056473
2,0.031591
3,0.022645
4,-0.044711
5,-0.080614
6,-0.085839
7,-0.104297
8,-0.028901
9,-0.011475
10,0.008346
11,-0.018037
12,0.019107
13,0.083302
14,0.072725
15,0.081212
16,0.053633
17,-0.002254
18,-0.022652
19,-0.043527
20,-0.057809
21,-0.021578
22,-0.009852
23,-0.064396
24,-0.079870
25,-0.020343
26,0.051224
27,-0.003269
28,0.020279
29,0.054141
30,0.079274
31,0.095540
32,0.096485
33,-0.030601
34,-0.045566
35,-0.030418
36,-0.073037
37,-0.106994
38,-0.077420
39,0.006038
40,0.058102
41,0.009176
42,-0.030376
43,-0.012518
44,0.008406
45,0.055423
46,0.047116
47,0.089842
48,0.036273
49,0.008503
50,467.700287
51,767.549744
52,9.055782
53,1109.606079
54,1616.731567
55,-2.685273
56,-14.290126
57,-33.581379
58,-26.521387
59,-2.579738
60,10.604630
61,13.922017
62,21.212793
63,26.505659
64,7.303467
65,1.682780
66,-12.535167
67,-17.838259
68,-0.357864
69,12.555882
70,11.743394
71,3.709937
72,-11.601374
73,-12.056971
74,-8.014550
75,-11.452402
76,-7.318719
77,-2.925422
78,2.892623
79,-3.331441
80,2.237855
81,8.454883
82,-8.167192
83,-5.136525
84,-6.274347
85,-6.026930
86,9.995820
87,6.394602
88,-11.311610
89,-14.369146
90,-6.648859
91,-9.068864
92,7.887056
93,17.204641
94,11.586640
95,17.293171
96,35.984745
97,19.012770
98,6.676184
99,-11.902907
100,-20.193781
101,-6.913765
102,1.128936
103,-8.700919
104,-0.065069
105,0.023518
106,0.025836
107,-0.032917
108,-0.013608
109,0.014370
110,0.032170
111,0.025310
112,0.011791
113,-0.052345
114,-0.019840
115,0.018991
116,-0.002173
117,-0.036215
118,-0.027704
119,-0.020686
120,-0.025384
121,-0.004836
122,0.041085
123,0.040126
124,0.040454
125,0.015879
126,0.022144
127,0.045990
128,-0.015820
129,-0.001258
130,-0.009820
131,-0.085058
132,-0.045726
133,0.014063
134,0.039329
135,0.057241
136,0.035895
137,-0.020213
138,-0.041544
139,-0.013800
140,-0.021722
141,-0.014716
142,-0.008332
143,-0.016261
144,0.026938
145,0.037620
146,-0.022326
147,0.034023
148,0.091579
149,0.010805
150,0.006861
151,-0.039016
152,-0.091527
153,-0.094442
154,-0.049737
155,0.001967
156,-0.025698
157,0.044696
158,0.104097
159,0.126546
160,0.091772
161,-0.006707
162,-0.081900
163,-0.155387
164,-0.103111
165,-0.025624
166,-0.004550
167,0.040072
168,0.114681
169,0.134465
170,0.058364
171,-0.007845
172,-0.007106
173,-0.079542
174,-0.098143
175,-0.013271
176,0.003907
177,-0.039161
178,0.028822
179,0.047795
180,0.053228
181,0.051153
182,-0.059513
183,-0.086904
184,-0.095715
185,-0.079937
186,-0.009596
187,0.031776
188,0.059008
189,0.099247
190,0.006969
191,-0.003497
192,0.025679
193,0.008639
194,-0.035667
195,-0.014925
196,-0.044417
197,-0.063999
198,-0.016849
199,-0.001547
200,0.029352
201,0.036043
202,0.042819
203,0.047824
204,-0.007125
205,-0.008521
206,0.000642
207,0.032263
208,0.040199
209,0.037030
210,0.015497
211,-0.007703
212,-0.019499
213,0.004325
214,-0.039325
215,-0.081804
216,-0.076316
217,-0.069640
218,-0.090969
219,-0.057803
220,0.037368
221,0.022492
222,0.071734
223,0.137726
224,0.096476
225,0.085419
226,0.011385
227,-0.066815
228,-0.075881
229,-0.101362
230,-0.031381
231,0.092595
232,-0.002571
233,-0.015746
234,0.021395
235,-0.006718
236,-0.023239
237,-0.032750
238,-0.028337
239,0.021164
240,0.007989
241,-0.023296
242,-0.059632
243,-0.019031
244,0.002402
245,0.058719
246,0.033890
247,0.023202
248,0.029584
249,-0.005941
250,0.000924
251,0.018176
252,0.028612
253,-0.055349
254,-0.057152
255,-0.042060
256,-0.054645
257,-0.045765
258,-0.019658
259,-0.009535
260,0.023269
261,0.016614
262,0.081571
263,0.064448
264,-0.017168
265,-0.018947
266,0.002587
267,-0.019096
268,-0.012375
269,-0.038501
270,0.016338
271,0.086886
272,0.061620
273,-0.014808
274,-0.047688
275,-0.042902
276,-0.085298
277,-0.049535
278,-0.040966
279,-0.059798
280,0.015991
281,0.012308
282,-0.006317
283,0.019959
284,-0.000397
285,0.047282
286,0.069674
287,0.056071
288,0.047564
289,0.045884
290,0.061388
291,-0.022311
292,-0.108226
293,-0.067917
294,-0.003659
295,-0.048797
296,-0.044189
297,0.001251
298,0.015004
299,-0.012949
300,0.005890
301,0.046357
302,0.025824
303,0.067263
304,0.057129
305,-0.013359
306,-0.010255
307,0.006296
308,-0.064419
309,-0.066514
310,-0.075668
311,-0.026847
312,0.002011
313,0.016033
314,0.040400
315,0.038068
316,0.055583
317,0.052254
318,-0.021292
319,-0.024256
320,-0.051517
321,-0.084966
322,-0.063114
323,-0.015929
324,0.006908
325,0.018970
326,0.068471
327,0.064796
328,0.027570
329,-0.002387
330,-0.038622
331,-0.055507
332,-0.011922
333,0.035206
334,0.086113
335,0.032745
336,-0.040571
337,-0.044054
338,-0.064438
339,-0.030767
340,0.045401
341,0.041286
342,-0.007927
343,-0.040086
344,-0.076834
345,-0.000586
346,0.035254
347,0.073275
348,0.113772
349,0.083829
350,-0.017676
351,-0.058514
352,-0.028170
353,0.019073
354,-0.011800
355,-0.019895
356,0.030729
357,-0.010894
358,-0.062181
359,-0.055467
360,0.013086
361,-0.020046
362,-0.030324
363,0.007914
364,-0.012832
365,-0.041447
366,-0.033633
367,-0.022740
368,-0.026201
369,0.040528
370,0.036370
371,0.017805
372,0.027557
373,0.031052
374,0.050140
375,0.033896
376,0.023191
377,-0.013234
378,-0.030494
379,-0.042225
380,-0.019619
381,0.004837
382,-0.007599
383,0.008636
384,0.000464
385,0.018294
386,0.029227
387,0.019620
388,0.050100
389,0.012970
390,-0.011832
391,-0.015699
392,0.004289
393,-0.047252
394,-0.040157
395,-0.046547
396,-0.054225
397,-0.016274
398,0.044057
399,0.035062
400,-0.007904
401,0.045860
402,0.035475
403,0.020338
404,0.005087
405,-0.002000
406,-0.012158
