Index,Voltage_mV
0,0.050068
1,-0.031890
2,-0.101030
3,-0.079567
4,-0.038749
5,-0.091192
6,-0.048273
7,-0.015490
8,0.015504
9,0.025630
10,0.038450
11,0.041422
12,0.023247
13,0.016102
14,0.012797
15,-0.058733
16,-0.085829
17,-0.074786
18,-0.021144
19,0.022673
20,0.068232
21,0.025296
22,-0.039948
23,-0.014581
24,0.078096
25,0.113390
26,0.123346
27,0.077011
28,0.022304
29,-0.053071
30,-0.097149
31,-0.086261
32,-0.042571
33,-0.004176
34,-0.041453
35,-0.078094
36,-0.020528
37,-0.008648
38,0.020017
39,0.060984
40,0.097749
41,0.090760
42,0.048808
43,-0.040269
44,-0.081385
45,-0.100255
46,-0.052331
47,0.038631
48,0.038178
49,0.044984
50,0.016963
51,-0.011212
52,-0.047410
53,-0.052596
54,-0.059033
55,-0.034033
56,0.052477
57,0.075832
58,0.068814
59,0.066563
60,0.007046
61,-0.028217
62,-0.043210
63,-0.004864
64,0.035377
65,-0.029778
66,-0.076884
67,-0.046168
68,-0.030984
69,0.004248
70,0.031869
71,0.012768
72,0.001801
73,-0.011675
74,0.013715
75,0.029677
76,0.034255
77,0.014550
78,-0.025110
79,-0.063010
80,-0.024620
81,0.020316
82,0.062041
83,0.089735
84,0.084182
85,-0.020749
86,-0.055371
87,-0.020385
88,-0.048613
89,-0.059085
90,-0.049037
91,0.004981
92,0.014889
93,0.020625
94,0.056568
95,0.020427
96,-0.001556
97,-0.041457
98,-0.018033
99,0.004521
100,-0.013682
101,0.000244
102,-0.005789
103,-0.009073
104,0.006419
105,0.021715
106,0.022306
107,0.026483
108,0.027724
109,0.024700
110,0.010753
111,0.021671
112,0.031024
113,0.029594
114,-0.027442
115,-0.053192
116,-0.086096
117,-0.081995
118,-0.042697
119,0.005421
120,0.007158
121,-0.004585
122,0.055541
123,0.027434
124,-0.032960
125,-0.009710
126,-0.017212
127,0.004837
128,0.027899
129,0.079355
130,0.053569
131,0.011247
132,-0.012119
133,0.000397
134,-0.021992
135,-0.005026
136,-0.017685
137,-0.057992
138,-0.064313
139,-0.056484
140,-0.003326
141,0.062069
142,0.029595
143,-0.024506
144,-0.020905
145,-0.005192
146,-0.006341
147,0.021059
148,0.028284
149,0.024545
150,-0.003052
151,-0.015039
152,-0.017247
153,-0.019995
154,0.002311
155,-0.013031
156,0.015195
157,0.022456
158,0.040301
159,0.037087
160,0.007491
161,0.011998
162,0.010479
163,-0.015696
164,-0.060428
165,-0.023206
166,-0.003827
167,0.015371
168,0.000626
169,0.013688
170,0.036164
171,-0.028854
172,-0.058091
173,-0.067720
174,-0.047686
175,-0.027497
