Index,Voltage_mV
0,-0.030696
1,-0.018179
2,0.005960
3,0.014006
4,-0.003279
5,0.009688
6,-0.002392
7,-0.060204
8,-0.060195
9,-0.030692
10,-0.007443
11,0.024447
12,0.020271
13,0.058878
14,0.067064
15,0.072867
16,0.067353
17,0.022184
18,-0.016390
19,-0.043966
20,-0.049762
21,-0.064682
22,-0.056300
23,-0.025013
24,0.035183
25,0.021148
26,0.018183
27,0.014907
28,0.007412
29,-0.066474
30,-0.044373
31,-0.031595
32,-0.000860
33,0.027879
34,0.034891
35,0.043665
36,0.029186
37,0.003997
38,-0.026798
39,-0.005694
40,-0.046217
41,-0.036045
42,-0.030115
43,0.004199
44,0.032193
45,0.051121
46,0.055956
47,-0.012986
48,-0.007694
49,0.038300
50,0.007699
51,-0.026842
52,-0.023004
53,-0.064979
54,-0.059349
55,-0.073724
56,0.023342
57,0.066742
58,0.056884
59,0.025586
60,-0.025353
61,-0.031580
62,-0.013663
63,0.027742
64,0.026166
65,0.008076
66,0.019991
67,0.034273
68,0.007966
69,-0.028906
70,0.022999
71,0.041117
72,-0.007728
73,0.013026
74,-0.003954
75,-0.017494
76,-0.004783
77,-0.027584
78,-0.050604
79,-0.027674
80,-0.031639
81,-0.049862
82,-0.013147
83,-0.038773
84,0.000985
85,0.031267
86,0.019752
87,0.064256
88,0.070867
89,0.049459
90,0.034517
91,0.012358
92,0.046535
93,0.056126
94,0.012651
95,-0.063447
96,-0.101053
97,-0.114487
98,-0.071030
99,0.021443
100,0.079077
101,0.088709
102,0.032953
103,-0.035858
104,-0.085340
105,-0.010324
106,-0.001028
107,-0.030501
108,-0.030018
109,-0.020266
110,0.006638
111,0.040650
112,0.040550
113,0.027656
114,-0.026781
115,0.012846
116,0.022405
117,0.018064
118,0.000589
119,0.001295
120,-0.007406
121,-0.008962
122,-0.041894
123,-0.062468
124,0.004135
125,-0.001678
126,-0.001267
127,-0.015176
128,0.020040
129,0.046790
130,0.030087
131,0.037473
132,-0.003461
133,-0.039570
134,0.016129
135,0.056419
136,0.031524
137,0.004719
138,0.011870
139,-0.016708
140,-0.036819
141,0.024320
142,-0.000827
143,-0.052659
144,-0.044230
145,-0.076462
146,-0.034320
147,0.016240
148,-0.001219
149,0.001245
150,0.027234
151,0.062905
152,0.020988
153,-0.020472
154,0.001788
