Index,Voltage_mV
0,-0.089407
1,-0.062585
2,-0.023842
3,-0.022947
4,-0.032478
5,0.038453
6,0.054836
7,0.033673
8,0.030111
9,0.066455
10,-0.006562
11,-0.030100
12,-0.037257
13,-0.044538
14,0.040537
15,0.004155
16,-0.036950
17,-0.040991
18,0.013738
19,0.070920
20,0.016083
21,0.052326
22,0.048534
23,-0.024019
24,-0.020274
25,-0.020258
26,-0.031621
27,-0.026926
28,0.053352
29,0.069146
30,0.086055
31,-0.030164
32,-0.021509
33,-0.102300
34,-0.107809
35,-0.030838
36,-0.025018
37,0.017482
38,0.087355
39,0.057430
40,0.015897
41,0.112190
42,0.038760
43,0.070614
44,-0.073997
45,-0.060522
46,-0.063262
47,-0.107891
48,-0.134105
49,-0.085428
50,-0.022285
51,0.059413
52,0.084546
53,0.045492
54,-0.006650
55,-0.042851
56,0.053656
57,0.072493
58,0.092000
59,-0.007441
60,-0.028652
61,-0.114832
62,-0.076461
63,0.037834
64,0.075051
65,0.029321
66,0.028561
67,-0.009447
68,-0.007362
69,0.000220
70,0.017117
71,0.070019
72,0.041351
73,-0.005847
74,-0.050379
75,0.003327
76,-0.032576
77,-0.010767
78,-0.007453
79,-0.014678
80,-0.085227
81,-0.062026
82,0.002199
83,0.068312
84,0.053545
85,0.049496
86,0.068549
87,-0.074172
88,-0.121569
89,-0.145805
90,-0.010771
91,0.064859
92,0.090102
93,0.110347
94,0.035071
95,-0.050467
96,-0.118300
97,0.054628
98,0.047652
99,0.016536
100,-0.064036
101,-0.001592
102,0.015292
103,-0.053469
104,-0.033512
105,-0.043327
106,0.028194
107,0.026389
108,0.053842
109,0.015288
110,0.021204
111,0.041894
112,0.065477
113,0.006424
114,-0.027345
115,0.008211
116,-0.074837
117,-0.037933
118,-0.073075
119,0.054421
120,0.057948
121,0.026014
122,0.007381
123,-0.003109
124,-0.062651
125,-0.013482
126,0.070553
127,0.012822
128,0.011319
129,0.004057
130,0.034174
131,0.015050
132,-0.050342
133,-0.038381
134,-0.044832
135,0.013558
136,-0.022934
137,0.009096
138,-0.004209
139,-0.036046
140,-0.078113
141,-0.069389
142,-0.069044
143,0.008249
144,0.063595
145,0.058421
146,0.101937
147,0.015116
148,0.050300
149,-0.036883
150,-0.076535
151,-0.012935
152,-0.029949
153,-0.011930
154,-0.050299
155,0.087933
156,0.052602
157,0.003868
158,0.010238
159,-0.001916
160,0.041544
161,0.036142
162,0.041756
163,-0.044037
164,-0.088305
165,-0.065902
166,0.048621
167,0.118251
168,0.070942
169,0.052630
170,-0.024251
171,-0.037607
172,-0.069709
173,-0.041402
174,-0.072220
175,-0.055020
176,-0.004507
177,-0.022091
178,-0.022360
179,-0.052516
180,-0.059267
181,0.024545
182,0.072238
183,0.078396
184,0.061726
185,0.035515
186,-0.048592
187,-0.024439
188,-0.033961
189,0.010364
190,0.063988
191,-0.021598
192,0.020604
193,-0.005041
194,-0.014626
195,-0.020727
196,0.009899
197,0.006533
198,-0.017533
199,-0.014442
200,-0.081179
201,-0.059567
202,0.044375
203,0.079567
204,0.009859
205,-0.013411
206,-0.037213
207,-0.054183
208,0.065323
209,0.069231
210,0.082217
211,0.090883
212,0.110241
213,-0.000356
214,-0.069191
215,-0.013309
216,-0.090729
217,-0.110224
218,-0.056771
219,-0.091017
220,-0.039237
221,0.034232
222,0.055366
223,0.015411
224,0.042014
225,0.040447
226,0.005531
227,0.081137
228,-0.014076
229,-0.019656
230,-0.036476
231,-0.038130
232,0.049126
233,-0.017757
234,-0.006835
235,-0.036767
236,-0.037092
237,-0.023446
238,0.092117
239,0.167809
240,-0.070343
241,-0.005526
242,-0.030025
243,-0.104171
244,-0.024434
245,-0.017298
246,0.083550
247,-0.005635
248,0.018934
249,0.009327
250,-0.008676
251,-0.058733
252,-0.039352
253,0.020588
254,0.041456
255,0.041111
256,0.054099
257,0.050733
258,0.015044
259,-0.091360
260,-0.080736
261,0.002109
262,-0.129783
263,0.030174
264,0.066174
265,-0.050540
266,0.076190
267,0.046588
268,0.029627
269,0.118967
270,-0.022903
271,-0.111702
272,-0.092031
273,-0.012231
274,-0.015048
275,0.002665
276,0.075001
277,0.007700
278,0.009111
279,0.016257
280,-0.036498
281,-0.025795
282,-0.074787
283,0.012386
284,-0.014462
285,-0.053313
286,0.045359
287,0.022725
288,0.066460
289,0.090501
290,0.009416
291,0.020320
292,0.049985
293,-0.068311
294,-0.073791
295,-0.041463
296,0.004616
297,-0.000198
298,0.040246
299,0.003275
300,-0.029919
301,0.048659
302,-0.002213
