Index,Voltage_mV
0,0.069737
1,0.029354
2,-0.022951
3,-0.069741
4,-0.091789
5,-0.049617
6,-0.044401
7,-0.000737
8,0.010727
9,-0.009089
10,0.031889
11,0.012061
12,0.002095
13,0.032938
14,0.002085
15,0.056356
16,0.081044
17,0.036197
18,-0.012537
19,-0.060657
20,-0.033948
21,-0.011342
22,-0.057824
23,-0.022013
24,0.008041
25,0.020584
26,0.014269
27,-0.036661
28,-0.010136
29,-0.013389
30,0.009836
31,0.013429
32,0.041766
33,0.097183
34,0.081310
35,0.039643
36,0.011890
37,-0.019069
38,-0.076040
39,-0.126663
40,-0.096853
41,-0.091476
42,-0.075390
43,-0.029583
44,0.086782
45,0.131701
46,0.083684
47,0.062274
48,0.061935
49,0.006902
50,-0.044353
51,0.002532
52,-0.053073
53,-0.040071
54,-0.056669
55,-0.076538
56,-0.029195
57,-0.027260
58,0.048067
59,0.075375
60,0.089410
61,0.052060
62,0.014667
63,0.018564
64,-0.018229
65,-0.036655
66,-0.074200
67,-0.085525
68,-0.071740
69,-0.044233
70,-0.016604
71,0.037048
72,0.048055
73,0.072022
74,0.075743
75,0.074764
76,0.036911
77,-0.021133
78,-0.070338
79,-0.057847
80,-0.059265
81,0.004007
82,0.040462
83,0.019081
84,0.073866
85,0.040873
86,0.008390
87,0.034547
88,-0.014428
89,-0.063258
90,-0.066541
91,-0.091066
92,-0.055393
93,-0.048045
94,-0.063650
95,0.007584
96,0.093959
97,0.115743
98,0.108470
99,0.107734
100,466.574219
101,763.692200
102,9.033191
103,1115.027954
104,1340.710205
105,7.871840
106,-7.900226
107,-17.237017
108,-12.280329
109,-8.942492
110,-9.867816
111,-12.362459
112,-18.985102
113,-10.242436
114,-0.753807
115,9.056189
116,15.773377
117,8.825104
118,7.637498
119,12.969064
120,2.703711
121,-9.312776
122,-7.556657
123,-13.156782
124,-0.399580
125,5.861282
126,1.900618
127,-0.631542
128,0.867553
129,-2.432592
130,-19.197113
131,-18.288191
132,-18.287180
133,-0.934996
134,11.068757
135,13.050385
136,23.397860
137,11.116966
138,13.419839
139,4.803685
140,-2.572097
141,4.563501
142,-11.227513
143,-21.832876
144,-1.902703
145,-4.434198
146,-1.401686
