Index,Voltage_mV
0,-0.007749
1,-0.049025
2,-0.049473
3,-0.043361
4,-0.008345
5,-0.001789
6,0.043818
7,0.088804
8,0.025627
9,0.033225
10,-0.028041
11,-0.130702
12,-0.137963
13,-0.025753
14,0.041737
15,0.072571
16,0.059013
17,0.054071
18,0.015489
19,0.018925
20,0.022928
21,-0.017302
22,-0.010729
23,-0.012525
24,-0.002378
25,-0.000293
26,-0.027134
27,-0.038268
28,0.019990
29,0.041593
30,0.063482
31,0.040951
32,-0.027732
33,-0.049174
34,-0.061708
35,-0.062840
36,-0.027125
37,-0.032758
38,0.009890
39,0.062590
40,0.064046
41,0.047965
42,0.010367
43,-0.030850
44,0.000311
45,0.005200
46,-0.053381
47,-0.065520
48,-0.009209
49,0.034350
50,0.075403
51,0.051838
52,0.040502
53,0.005921
54,-0.039342
55,-0.035281
56,-0.018505
57,-0.054719
58,-0.027613
59,0.060301
60,0.049728
61,0.035306
62,0.007370
63,-0.042945
64,-0.021407
65,-0.014646
66,-0.036031
67,-0.012483
68,-0.019929
69,-0.006855
70,-0.024709
71,-0.004694
72,0.000326
73,0.016108
74,0.026557
75,0.034571
76,0.058133
77,0.052145
78,0.002905
79,-0.024724
80,-0.022072
81,-0.036213
82,-0.011297
83,-0.034066
84,-0.058416
85,-0.055700
86,-0.010651
87,0.042799
88,0.052142
89,0.055408
90,0.010640
91,-0.011371
92,-0.025609
93,-0.006152
94,-0.017911
95,-0.009330
96,0.019495
97,0.082425
98,0.076848
99,0.049351
100,0.010648
101,-0.046425
102,-0.096503
103,-0.063808
104,-0.056576
105,-0.035342
106,-0.012750
107,0.023569
108,0.011581
109,0.019994
110,0.016429
111,0.023524
112,0.021734
113,0.005073
114,-0.021436
115,-0.036852
116,-0.040710
117,-0.005838
118,-0.014550
119,0.004053
120,0.011973
121,0.048815
122,0.076123
123,0.000667
124,-0.061374
125,-0.035983
126,-0.030447
127,-0.039445
128,-0.012802
129,0.035367
130,0.080472
131,-0.010707
132,0.022593
133,-0.005885
134,-0.029354
135,-0.057498
136,-0.032142
137,0.011080
138,0.047782
139,0.090639
140,0.119703
141,0.046991
142,-0.013350
143,0.030073
144,-0.010984
145,-0.071444
146,-0.073364
147,-0.068865
148,-0.055982
149,-0.029033
150,-0.028375
151,-0.018521
152,0.016947
153,0.018289
154,0.053069
155,0.050113
156,0.038135
157,0.005773
158,-0.075773
159,-0.048520
160,0.001459
161,-0.016747
162,-0.014013
163,0.064430
164,0.077782
165,0.050448
166,-0.021586
167,-0.036895
168,-0.050015
169,-0.053811
170,-0.059583
171,0.025369
172,0.031626
173,0.038240
174,0.053287
175,0.028046
176,-0.023740
177,0.025668
178,0.045199
179,0.008360
180,-0.036509
181,-0.034122
182,-0.031799
183,-0.020380
184,-0.048810
185,-0.014838
186,0.020475
187,0.013383
188,0.020932
189,0.045564
190,0.017059
191,-0.012927
192,-0.003083
193,-0.029252
194,-0.055421
195,-0.025246
196,0.027874
197,0.062165
198,0.074898
199,0.015140
200,0.043768
201,-0.018265
202,-0.073031
203,-0.034394
204,-0.064954
205,-0.033359
206,-0.000971
207,-0.023690
208,0.033270
209,0.049518
210,0.029150
211,0.022022
212,0.016576
213,-0.011946
214,-0.043199
215,-0.086701
216,-0.063397
217,0.022008
218,0.048889
219,0.037262
220,0.019349
221,0.012624
222,0.006547
223,0.016564
224,0.033205
225,0.001820
226,0.028346
227,0.022409
228,0.033524
229,-0.052705
230,-0.115040
231,-0.091751
232,-0.039284
233,-0.015434
234,0.042339
235,0.064959
236,0.021461
237,-0.005903
238,-0.012879
239,0.018524
240,0.017099
241,0.009280
242,0.069242
243,0.066532
244,0.055381
245,-0.032465
246,-0.055304
247,-0.042023
248,-0.061837
249,-0.014240
250,0.003435
251,0.016676
252,0.026578
253,-0.000415
254,0.001426
255,-0.017063
256,-0.057274
257,-0.035433
258,0.004592
259,-0.030482
260,0.010450
261,0.045354
262,0.075544
263,0.089501
264,0.084951
265,0.026894
266,-0.031312
267,-0.059464
268,-0.100886
269,-0.054113
270,-0.048554
271,-0.018943
272,0.019477
273,0.010317
274,-0.012570
275,0.020309
276,0.020112
277,0.026715
278,0.035672
279,0.017757
280,-0.006811
281,-0.028228
282,0.005851
283,-0.017173
284,-0.047608
285,-0.033217
286,0.022654
287,0.058285
288,0.036603
289,0.065939
290,0.006111
291,-0.042203
292,-0.045632
293,-0.054704
294,-0.081365
295,-0.063246
296,0.013088
297,0.040260
298,0.054289
299,0.043731
300,462.069946
301,748.262146
302,8.942824
303,1136.715210
304,1865.771362
305,-14.859750
306,-16.132591
307,-2.562542
308,6.996956
309,46.343990
310,82.183388
311,54.701481
312,18.226276
313,-31.493483
314,-49.260204
315,-50.359398
316,-32.578163
317,-14.075539
318,5.040386
319,12.893678
320,3.528441
321,4.026064
322,-8.161160
323,-9.325411
324,-1.372353
325,-2.970803
326,-15.549720
327,-18.493773
328,4.133737
329,32.476654
330,26.169586
331,16.740740
332,20.261923
333,33.556637
334,23.451239
335,7.617164
336,-19.541079
337,-46.692173
338,-56.270203
339,-46.501442
340,-11.683182
341,3.501295
342,1.876718
343,15.118685
344,29.018717
345,66.817795
346,62.108036
347,28.234772
348,-17.570015
349,-57.987293
350,-64.814110
351,-58.644878
352,-21.919840
353,23.130604
354,0.016718
355,-0.015189
356,-0.023792
357,-0.084745
358,0.005367
359,0.056745
360,0.075327
361,0.078273
362,-0.006846
363,-0.040922
364,-0.013211
365,-0.034479
366,-0.037963
367,-0.043027
368,-0.040996
369,-0.018368
370,0.017335
371,0.059164
372,0.044619
373,0.016746
374,0.034690
375,-0.007344
376,-0.040014
377,-0.038026
378,-0.022340
379,0.015316
380,0.038028
381,0.024754
382,-0.005924
383,-0.024467
384,0.004149
385,0.061445
386,0.010967
387,-0.029567
388,-0.020612
389,-0.046720
390,-0.030110
391,-0.047935
392,-0.019050
393,0.006244
394,-0.007685
395,-0.017034
396,-0.003845
397,0.015709
398,0.050713
