Index,Voltage_mV
0,-0.025332
1,-0.062288
2,-0.085532
3,-0.056473
4,-0.053940
5,-0.019071
6,0.048876
7,0.027855
8,0.031592
9,0.012355
10,-0.039933
11,-0.047842
12,-0.046194
13,-0.060801
14,-0.050650
15,-0.010417
16,0.017895
17,0.017279
18,-0.003258
19,0.037270
20,0.067385
21,0.128161
22,0.063442
23,-0.017765
24,-0.113262
25,-0.110231
26,-0.054803
27,-0.012343
28,0.015813
29,0.043684
30,0.075718
31,0.097015
32,0.074154
33,0.003720
34,0.021782
35,0.004555
36,-0.073025
37,-0.090483
38,-0.087042
39,-0.062411
40,-0.034885
41,0.004546
42,0.076003
43,0.065069
44,0.025289
45,-0.004490
46,-0.010752
47,-0.004298
48,-0.002110
49,-0.015510
50,-0.003169
51,0.065716
52,0.030370
53,-0.001066
54,-0.003548
55,0.022531
56,0.039638
57,0.038023
58,0.022330
59,-0.044199
60,-0.116827
61,-0.111269
62,-0.117965
63,-0.047095
64,-0.006843
65,0.002137
66,0.003398
67,0.077570
68,0.088119
69,0.040831
70,0.026814
71,0.025197
72,0.053325
73,0.031112
74,0.029796
75,0.017254
76,-0.003713
77,-0.065429
78,-0.075982
79,-0.055212
80,0.005747
81,0.047742
82,0.073900
83,0.046338
84,-0.036754
85,-0.033320
86,-0.035810
87,-0.030095
88,-0.021259
89,-0.061058
90,-0.048781
91,0.015127
92,0.087032
93,0.079289
94,0.032700
95,-0.015043
96,-0.013430
97,-0.029446
98,-0.036617
99,-0.021812
100,-0.028701
101,-0.045414
102,-0.013379
103,-0.007401
104,0.021023
105,0.084789
106,0.107273
107,0.070132
108,0.028083
109,0.013808
110,-0.061761
111,-0.089531
112,-0.086984
113,-0.054199
114,-0.025482
115,0.017741
116,0.059922
117,0.015386
118,-0.000542
119,-0.010972
120,-0.053441
121,-0.061281
122,0.037393
123,0.066081
124,0.040859
125,0.053754
126,0.009949
127,-0.032617
128,-0.061998
129,-0.039455
130,0.019503
131,0.036656
132,0.027975
133,0.004415
134,-0.027084
135,0.026478
136,0.018838
137,0.023156
138,0.002993
139,-0.024982
140,-0.039768
141,-0.018763
142,-0.037234
143,-0.031942
144,-0.005156
145,0.044384
146,-0.004840
147,-0.005759
148,-0.002828
149,-0.025884
150,0.032092
151,0.033724
152,0.009578
153,-0.006575
154,-0.002052
155,-0.035291
156,-0.036243
157,-0.025744
158,0.000221
159,0.047178
160,0.054019
161,0.060549
162,0.003659
163,-0.074939
164,-0.094290
165,-0.036919
166,-0.017430
167,0.044523
168,0.042698
169,0.002728
170,0.005058
171,-0.039431
172,-0.028441
173,0.026236
174,0.023746
175,0.019612
176,0.086215
177,0.084392
178,0.025317
179,-0.044132
180,-0.068940
181,-0.095091
182,-0.067028
183,-0.019989
184,-0.015727
185,0.007177
186,0.047605
187,0.077637
188,0.044999
189,0.018393
190,0.019831
191,-0.011186
192,-0.077369
193,-0.059770
194,-0.018310
195,0.041781
196,0.044540
197,0.042115
198,0.006368
199,-0.065429
200,-0.032532
201,-0.035467
202,-0.017490
