Index,Voltage_mV
0,0.097752
1,0.058560
2,0.012220
3,0.053497
4,-0.016098
5,-0.042315
6,-0.000898
7,-0.006255
8,0.031891
9,0.043360
10,0.015490
11,-0.015951
12,-0.064678
13,-0.060933
14,-0.047384
15,-0.022629
16,0.036679
17,0.071824
18,0.053967
19,0.093728
20,0.064346
21,-0.000172
22,-0.017885
23,-0.017583
24,-0.033084
25,-0.027268
26,-0.008648
27,-0.038484
28,-0.053945
29,-0.027693
30,0.049779
31,0.048996
32,0.008327
33,-0.018938
34,-0.032158
35,0.000299
36,0.004492
37,0.022370
38,-0.015529
39,-0.072580
40,-0.039307
41,-0.028614
42,0.006625
43,0.025473
44,-0.001763
45,0.003604
46,0.053141
47,0.099666
48,0.042248
49,-0.016620
50,-0.054277
51,-0.034213
52,-0.065937
53,-0.099095
54,-0.062264
55,-0.031675
56,0.025093
57,0.080935
58,0.100402
59,0.084746
60,0.057153
61,0.019503
62,0.021689
63,-0.039461
64,-0.016063
65,0.005776
66,-0.055768
67,-0.039467
68,-0.007783
69,-0.039380
70,-0.011844
71,0.037475
72,0.066743
73,0.039831
74,-0.012933
75,-0.044430
76,-0.020485
77,0.020272
78,0.014850
79,-0.007925
80,-0.035719
81,-0.008813
82,-0.018256
83,-0.034038
84,-0.011306
85,-0.014939
86,0.020053
87,0.033075
88,0.038348
89,-0.018958
90,-0.024383
91,0.015018
92,0.032757
93,0.005624
94,-0.002416
95,0.016326
96,0.015386
97,-0.031072
98,-0.053013
99,-0.022939
100,-0.025027
101,0.024128
102,0.069122
103,0.083447
104,0.078792
105,0.009876
106,-0.039902
107,-0.027697
108,0.012818
109,-0.014874
110,-0.089533
111,-0.123051
112,-0.079370
113,-0.032080
114,-0.004598
115,0.051914
116,0.018703
117,0.002668
118,0.022559
119,0.061081
120,0.025252
121,0.005092
122,0.014636
123,-0.000051
124,-0.032449
125,-0.001121
126,-0.013820
127,-0.051724
128,-0.044641
129,-0.001999
130,0.028620
131,0.041883
132,0.050143
133,0.056795
134,0.032733
135,0.012878
136,-0.025184
137,-0.028382
138,-0.009052
139,-0.036820
140,-0.023567
141,-0.039998
142,-0.027868
143,0.015470
144,0.030771
145,0.044177
146,0.023350
147,0.007597
148,0.015186
149,0.034620
150,0.038833
151,-0.022448
152,-0.055632
153,-0.103579
154,-0.025939
155,0.005460
156,0.020484
157,0.082136
158,0.063300
159,-0.059913
160,-0.110972
161,-0.060559
162,-0.014280
163,0.068417
164,0.107032
165,0.103526
166,0.030372
167,-0.056048
168,-0.076539
169,-0.103278
170,-0.105823
171,-0.075672
172,-0.040024
173,0.049937
174,0.031077
175,0.085203
176,0.091663
177,0.050123
178,0.021934
179,0.029850
180,0.023147
181,-0.050891
182,-0.015903
183,0.029932
184,0.025771
185,-0.070847
186,-0.084887
187,-0.053661
188,-0.013456
189,-0.010554
190,0.013831
191,0.057953
192,0.088995
193,0.049924
194,0.000605
195,-0.023216
196,-0.043929
197,-0.066530
198,-0.054727
199,-0.012601
200,0.046280
201,0.054320
202,0.048208
203,0.002343
204,-0.051750
205,-0.008447
206,0.010938
207,0.002703
208,0.031885
209,0.030042
210,0.009672
211,-0.057656
212,-0.080302
213,-0.046466
214,-0.062714
215,0.029288
216,0.074682
217,0.065277
218,0.071291
219,-0.012008
220,0.023184
221,0.050671
222,-0.015434
223,-0.031603
224,-0.021742
225,-0.020759
226,0.030713
227,0.000102
228,-0.054538
229,-0.033954
230,-0.043268
231,-0.013717
232,0.015996
233,-0.010438
234,0.005405
235,0.042172
236,0.032421
237,0.039095
238,0.020681
239,-0.006844
240,-0.006466
241,-0.029836
242,-0.061698
243,-0.063813
244,-0.048850
245,0.023189
