Index,Voltage_mV
0,0.029206
1,-0.068250
2,-0.121593
3,-0.076587
4,-0.027713
5,0.012072
6,0.018178
7,0.042920
8,0.086726
9,0.057506
10,0.006854
11,-0.021618
12,-0.017872
13,-0.003728
14,-0.005652
15,0.002370
16,-0.038464
17,-0.081816
18,-0.037532
19,0.004326
20,0.008348
21,0.013122
22,0.049197
23,0.075390
24,0.044696
25,0.021596
26,0.012207
27,0.006863
28,-0.051298
29,-0.094019
30,-0.043489
31,-0.023983
32,-0.027968
33,0.038200
34,0.097465
35,0.069689
36,0.004745
37,-0.005515
38,-0.009876
39,-0.020502
40,0.025396
41,0.050287
42,-0.038508
43,-0.044377
44,-0.016460
45,-0.073055
46,-0.023838
47,0.001353
48,-0.000067
49,-0.041595
50,0.005125
51,0.020825
52,0.034632
53,0.051940
54,-0.000263
55,0.052485
56,0.050591
57,-0.012994
58,-0.026196
59,-0.003836
60,-0.011022
61,-0.060880
62,-0.100996
63,-0.054272
64,0.011652
65,0.008483
66,0.049256
67,0.090161
68,0.079190
69,0.030982
70,0.050964
71,0.002900
72,-0.060513
73,-0.074656
74,-0.077092
75,0.001212
76,-0.008172
77,-0.042031
78,0.041150
79,0.016295
80,-0.069144
81,-0.036558
82,0.037213
83,0.057933
84,0.068207
85,0.019971
86,0.011257
87,0.001811
88,-0.024995
89,0.003499
90,0.011784
91,-0.038948
92,0.017943
93,0.063019
94,-0.034434
95,-0.068880
96,0.003833
97,-0.030037
98,-0.061844
99,0.031717
100,0.080647
101,0.037539
102,0.032288
103,-0.066643
104,-0.077700
105,-0.054893
106,-0.017744
107,0.071150
108,0.078158
109,-0.002849
110,0.001567
111,0.025804
112,0.063614
113,0.090050
114,0.057885
115,-0.006104
116,-0.018171
117,-0.057827
118,-0.080646
119,-0.092167
120,-0.124838
121,-0.079223
122,-0.026606
123,0.034202
124,0.113732
125,0.134422
126,0.075099
127,0.020838
128,-0.015696
129,-0.053988
130,-0.024748
131,0.006770
132,0.004494
133,-0.016089
134,-0.035399
135,0.010507
136,-0.014425
137,0.053093
138,0.047162
139,-0.012743
140,0.015066
141,-0.021189
142,-0.116550
143,-0.101490
144,-0.018567
145,0.022002
146,0.017944
147,0.054247
148,0.099200
149,0.025328
150,465.448151
151,759.834839
152,9.010599
153,1120.449829
154,988.404480
155,-0.191934
156,40.274757
157,57.176514
158,36.616371
159,-0.461833
160,-2.911676
161,-11.734692
162,-11.724847
163,-12.471034
164,-8.422663
165,-15.768217
166,-30.614740
167,-13.654367
168,1.726534
169,15.290916
170,23.872873
171,15.264481
172,-13.856271
173,-3.772077
174,14.552895
175,13.538838
176,12.695009
177,10.157065
178,-21.215448
179,-19.369991
180,-3.123541
181,5.669229
182,-0.862522
183,-18.363653
184,-2.709866
185,14.910528
186,-1.338450
187,-3.651332
188,-5.227978
189,21.490580
190,33.350979
191,-10.717366
192,-33.372982
193,-39.680515
194,-26.409237
195,7.830871
196,29.893024
197,30.631271
198,22.515030
199,23.671432
200,2.792057
201,-25.613789
202,-44.427273
203,-12.789106
204,-0.046464
205,-0.052409
206,-0.035990
207,-0.034885
208,-0.009851
209,0.025761
210,0.019606
211,0.072558
212,0.045157
213,-0.007394
214,-0.019968
215,-0.026537
216,-0.025897
217,-0.061788
218,-0.037466
219,0.047751
220,0.087173
221,0.036724
222,0.022551
223,0.006940
224,-0.029688
225,-0.021958
226,-0.016891
227,-0.039153
228,-0.025044
229,-0.005760
230,0.003425
231,0.009065
232,0.025474
233,-0.006480
234,-0.002799
235,0.010895
236,-0.009255
237,0.025186
238,0.030267
239,0.029600
240,-0.047277
241,-0.052201
242,-0.027711
243,0.035202
244,0.039721
245,0.043795
246,0.045492
247,-0.060146
248,-0.075539
249,-0.073631
250,-0.037506
251,0.005842
252,0.026180
253,0.034378
254,463.105927
255,751.811096
256,8.963609
257,1131.727173
258,983.528259
259,18.001034
260,15.394517
261,12.211638
262,-2.115206
263,-11.641081
264,-35.303249
265,-26.121342
266,-18.777742
267,-5.109147
268,14.787482
269,24.681942
270,24.062466
271,20.559874
272,7.113773
273,-9.842991
274,-21.886209
275,-15.638552
276,-1.218030
277,13.223053
278,24.922670
279,17.734659
280,-9.426724
281,-36.687229
282,-43.327560
283,-15.301765
284,15.036583
285,31.762299
286,6.010480
287,-6.435266
288,-15.683892
289,-1.595563
290,20.248875
291,13.733718
292,15.537800
293,26.076883
294,36.216103
295,10.769094
296,-6.917567
297,-32.170647
298,-53.475410
299,-55.990170
300,-16.558830
301,21.239319
302,28.476076
303,27.218447
304,24.299253
305,8.814541
306,-10.068349
307,-16.442314
308,0.023594
309,0.024032
310,0.001275
311,0.010527
312,0.046249
313,0.002849
314,-0.072267
315,-0.080178
316,-0.071078
317,0.008845
318,0.076280
319,0.056897
320,0.041864
321,0.003761
322,0.025999
323,0.079024
324,0.013214
325,0.048374
326,-0.020385
327,-0.052215
328,-0.019430
329,-0.037206
330,-0.077627
331,-0.043026
332,0.009069
333,0.017772
334,0.006318
335,-0.014039
336,-0.049925
337,-0.051960
338,-0.032233
339,0.014585
340,0.075467
341,0.069001
342,0.019522
343,-0.007563
344,-0.030332
345,-0.003597
346,-0.038720
347,0.004614
348,-0.041498
349,-0.029520
350,0.049226
351,0.051195
352,0.071291
353,0.071540
354,0.031058
355,-0.009192
356,-0.020383
357,-0.036667
358,-0.084633
359,-0.066687
360,-0.051964
361,-0.008090
362,-0.029047
363,-0.043869
364,-0.007553
365,0.024068
366,0.075976
367,0.083218
368,0.059063
369,0.046250
370,0.011755
371,0.007251
372,-0.038159
373,-0.068943
374,-0.064955
375,-0.064909
376,-0.018365
377,-0.020417
378,-0.043353
379,0.023999
380,0.035431
381,0.007574
382,0.037391
383,0.092903
384,0.045632
385,-0.007967
386,-0.030885
387,-0.029950
388,-0.012448
389,-0.047099
390,-0.057362
391,-0.034747
392,-0.019173
393,-0.004910
394,0.086380
395,0.060069
396,0.038849
397,0.000325
398,-0.037738
399,0.025365
400,0.033492
401,-0.005435
402,0.017621
403,0.031983
404,-0.007445
405,0.014893
406,-0.033034
407,-0.120693
408,-0.079773
409,-0.018774
410,0.033142
411,0.044181
412,0.045644
